"","ensembl_gene_id","hgnc_symbol","Sample_siESR1_3/siESR1_3_rsem.genes.results","Sample_siESR1_1/siESR1_1_rsem.genes.results","Sample_siCTL_2/siCTL_2_rsem.genes.results","Sample_siRecQ1_3/siRecQ1_3_rsem.genes.results","Sample_siRecQ1_2/siRecQ1_2_rsem.genes.results","Sample_siCTL_1/siCTL_1_rsem.genes.results","Sample_siESR1_2/siESR1_2_rsem.genes.results","Sample_siCTL_3/siCTL_3_rsem.genes.results","Sample_siRecQ1_1/siRecQ1_1_rsem.genes.results"
"4773","ENSG00000131373","HACL1","21.3409359853734","23.0341011043588","23.6108621565411","32.3811907073165","24.5764947033286","26.4233782603304","19.6996640005098","27.5233320859941","25.947274652529"
"4774","ENSG00000131374","TBC1D5","68.4664776506874","68.1723551318445","76.0473341411737","32.4356128765725","60.5435324607747","71.1640813095297","77.8703995831669","72.3707358592245","62.1107799724979"
"4775","ENSG00000131375","CAPN7","67.758886934992","70.3183893962258","67.1670177007936","55.809934572022","63.0158983950018","62.5319772619949","70.4443482321894","59.5759096299693","63.4153899627878"
"4776","ENSG00000131378","RFTN1","10.7553788785702","11.8985677547361","9.49629214722722","10.6123230049189","9.97776252027352","10.3839133983581","12.583031455823","9.93444440396494","11.1742681777005"
"4777","ENSG00000131381","RBSN","48.6256339825883","48.2857709485782","52.4862633542694","36.979864009448","45.0618124440671","52.7320003139112","52.0854990589395","51.6406568243255","47.5048202986"
"4778","ENSG00000131389","SLC6A6","84.4580278254036","77.4479921190035","50.2533514169484","30.1226706831927","43.7961965491652","46.4610306087903","88.2617144944306","48.3189230917304","46.2569324818009"
"4779","ENSG00000131398","KCNC3","10.2176099346417","7.10575789761793","6.00576314175992","3.64628534015161","5.91601848547191","6.09324991590693","11.0875072254178","5.19789815563491","5.24680104790507"
"4780","ENSG00000131400","NAPSA","2.49071931924783","2.26525839018021","1.84792712054151","2.63947520891571","2.14860372855447","2.05647184661859","2.37221084822893","2.12221877360242","1.92855389868943"
"4781","ENSG00000131408","NR1H2","86.3260673148395","79.5463367330652","75.6623493243942","87.2931594866146","75.5543256328676","72.2557885861297","75.7818226407045","84.6119397997138","77.6810165957405"
"4782","ENSG00000131437","KIF3A","20.2937017261442","17.6928602685655","19.9165478547252","10.6395340895468","17.9246530231462","21.1486549164603","21.5303919377299","17.3775885084836","17.300262914714"
"4783","ENSG00000131446","MGAT1","94.1661724447446","90.6341804323683","81.5654498483463","85.9326052552147","80.8816855625711","76.5210635272645","88.5195634996729","81.5670172115016","85.905731751916"
"4784","ENSG00000131459","GFPT2","12.8781510256564","15.2845329274265","7.62269937223375","7.83679237286315","7.77029293614221","8.5305498822697","13.8980613825586","9.53460608430071","7.2604382068308"
"4785","ENSG00000131462","TUBG1","96.7202918921187","92.9669196777507","106.889494439556","119.256387934045","112.547689582296","102.426769430156","86.8644307350227","105.508105521242","114.733925596046"
"4786","ENSG00000131467","PSME3","120.007385381941","121.584763489778","118.57532356808","116.599497630967","115.877436703","119.453086893092","120.982753259675","119.889982311626","121.300368010216"
"4787","ENSG00000131469","RPL27","454.867615677634","451.120247198099","456.540661391562","670.100170049056","493.325302661665","457.476125978029","417.715388492485","507.025746128056","437.696651742265"
"4788","ENSG00000131470","PSMC3IP","4.72444169055508","5.36675479871432","5.88154137421241","7.20767209626386","6.6265293622843","6.33774156878269","5.81191657816087","6.57611008672366","6.52815494706373"
"4789","ENSG00000131473","ACLY","250.911667785591","255.926508440044","294.770041380823","223.375793711228","286.823881298128","283.336121089672","253.929700362592","286.438020848686","287.723225032416"
"4790","ENSG00000131475","VPS25","73.3630054032996","78.878681628591","77.0739603192523","99.8646805847492","79.9986977289186","74.286871891432","70.3669935306168","77.6301476025","77.5675722487588"
"4791","ENSG00000131495","NDUFA2","57.8243132866285","59.0636319208041","49.9966948724287","82.4495864228311","58.7186909378928","50.4978086780787","52.8562097356086","58.3456378771563","53.9388164376689"
"4792","ENSG00000131503","ANKHD1","201.571650216436","199.293141099526","210.157821692484","138.697075235671","196.102473646611","198.540931947432","225.189076691272","189.805095752236","217.643830517054"
"4793","ENSG00000131504","DIAPH1","235.684315583826","235.348424327144","225.036458234833","161.416154013279","199.172622344221","213.974626213598","240.702046393663","215.143772773173","225.952778100863"
"4794","ENSG00000131507","NDFIP1","83.1277572798962","96.4523177713575","78.8962217853419","87.7829590099185","81.2054477682437","85.4070529879621","88.2617144944306","84.3043718615105","81.3679578726468"
"4795","ENSG00000131508","UBE2D2","111.686118565363","116.362746779784","116.547736866375","135.930252150696","116.006058597435","114.893050987275","105.769661950381","121.075041577524","109.076739622935"
"4796","ENSG00000131558","EXOC4","101.864759431511","110.568454265954","118.062010479041","109.388560204548","120.468973437993","118.91992752545","109.199053720103","117.583222775102","124.703698419668"
"4797","ENSG00000131584","ACAP3","66.6035328144046","52.7015941199201","48.4146639320096","53.0110024071862","52.2931884724034","54.9580676165225","62.0431119433856","51.3444688998357","59.36542677554"
"4798","ENSG00000131591","C1orf159","24.2279061054107","23.7256010339928","23.3300798968366","32.6805126382245","26.6662325763062","22.5450246888556","22.7164973618444","22.6370002517591","28.8432252201052"
"4799","ENSG00000131620","ANO1","2.63223746238691","3.1713617462523","1.20628575924238","0.571432777187938","0.529792700191514","1.11709581791627","3.19732766500421","0.931315716879437","1.16280455656275"
"4800","ENSG00000131626","PPFIA1","131.67923575548","128.018812662645","134.24959539844","101.491903445503","132.114994305314","129.823544364553","140.182963737031","128.27213133148","143.235399720869"
"4801","ENSG00000131650","KREMEN2","8.38749730756706","5.45378841054756","8.78715011471942","8.54210368642084","6.56619186031805","9.25463108060997","6.27166135450785","9.6465608138067","7.18414688348559"
"4802","ENSG00000131652","THOC6","34.9668688793767","34.6975588830193","35.9319162327517","45.5108111511714","34.2095976391997","36.541473631107","32.143456993502","38.4862836753107","34.8177717538981"
"4803","ENSG00000131653","TRAF7","250.828172081139","234.147598932097","240.997415425422","234.183492303776","248.013328387043","223.3506145217","228.286874640253","235.568744413374","253.783796135024"
"4804","ENSG00000131669","NINJ1","166.68006898921","152.583036197507","101.815651210947","147.728978445396","112.963576851946","98.1267121874178","141.404394474863","108.171643866083","116.62078869722"
